goal	rule	score
friend(X, _EX2)	friend(sirius_black, remus_lupin)	1
friend(Z, X)	friend(hermione_granger, dumbledore)	1
friend(george_weasley, Z)	friend(george_weasley, bill_weasley)	1
friend(_EX2, X)	friend(fred_weasley, luna_lovegood)	1
house(Z, X)	house(george_weasley, gryffindor)	1
teacher(_EX1, X)	teacher(trelawney, divination)	1
friend(_EX3, fred_weasley)	friend(ron_weasley, fred_weasley)	1
house(_EX0, X)	house(neville_longbottom, gryffindor)	1
male(_EX2)	male(victor_krum)	1
taught_by(ron_weasley, Z)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
enemy(_EX1, draco_malfoy)	enemy(hermione_granger, draco_malfoy)	1
parent(X, _EX4)	parent(molly_weasley, ron_weasley)	1
enemy(_EX6, lucius_malfoy)	enemy(sirius_black, lucius_malfoy)	1
male(_EX3)	male(dumbledore)	1
friend(_EX6, X)	friend(fred_weasley, bill_weasley)	1
taught_by(_EX2, _EX4)	taught_by(harry_potter, slughorn)	1
mutual_friend(fred_weasley, fred_weasley, Z)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
friend(Y, X)	friend(ron_weasley, fred_weasley)	1
ally(_EX6, Y)	ally(harry_potter, dumbledore)	1
teacher(_EX2, X)	teacher(trelawney, divination)	1
friend(_EX6, X)	friend(george_weasley, luna_lovegood)	1
male(X)	male(ron_weasley)	1
male(_EX2)	male(james_potter)	1
parent(X, _EX2)	parent(petunia_dursley, dudley_dursley)	1
friend(_EX3, _EX4)	friend(hermione_granger, dumbledore)	1
friend(X, neville_longbottom)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
friend(X, Z)	friend(fred_weasley, luna_lovegood)	1
teacher(_EX3, X)	teacher(lockhart, defense_dark_arts)	1
friend(_EX0, X)	friend(hermione_granger, neville_longbottom)	1
friend(_EX3, X)	friend(sirius_black, remus_lupin)	1
parent(molly_weasley, _EX5)	parent(molly_weasley, fred_weasley)	1
sibling(dudley_dursley, _EX5)	sibling(X, Y) :- parent(Z, X), parent(Z, Y)	1
teacher(X, Y)	teacher(mcgonagall, transfiguration)	1
house(goyle, X)	house(goyle, slytherin)	1
male(_EX6)	male(remus_lupin)	1
parent(X, _EX2)	parent(arthur_weasley, fred_weasley)	1
taught_by(_EX0, X)	taught_by(harry_potter, severus_snape)	1
parent(Y, X)	parent(molly_weasley, fred_weasley)	1
taught_by(_EX2, _EX0)	taught_by(harry_potter, trelawney)	1
parent(X, _EX3)	parent(molly_weasley, ginny_weasley)	1
male(_EX3)	male(draco_malfoy)	1
house(X, Y)	house(bellatrix_lestrange, slytherin)	1
friend(_EX3, Z)	friend(fred_weasley, luna_lovegood)	1
house(Z, X)	house(ginny_weasley, gryffindor)	1
taught_by(_EX2, _EX3)	taught_by(ginny_weasley, remus_lupin)	1
taught_by(_EX2, X)	taught_by(ron_weasley, slughorn)	1
taught_by(X, _EX5)	taught_by(ginny_weasley, remus_lupin)	1
friend(_EX1, remus_lupin)	friend(sirius_black, remus_lupin)	1
enemy(_EX4, voldemort)	enemy(hermione_granger, voldemort)	1
male(_EX3)	male(fred_weasley)	1
teacher(_EX1, X)	teacher(lockhart, defense_dark_arts)	1
mother(_EX5, _EX2)	mother(X, Y) :- female(X), parent(X, Y)	1
enemy(Y, X)	enemy(harry_potter, draco_malfoy)	1
friend(Y, X)	friend(hermione_granger, remus_lupin)	1
friend(X, _EX5)	friend(fred_weasley, george_weasley)	1
house(molly_weasley, X)	house(molly_weasley, gryffindor)	1
ally(_EX1, Y)	ally(lucius_malfoy, voldemort)	1
friend(hermione_granger, X)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
enemy(ron_weasley, X)	enemy(ron_weasley, voldemort)	1
parent(_EX4, X)	parent(molly_weasley, ginny_weasley)	1
height(hagrid, tall)	height(hagrid, tall)	1
female(hermione_granger)	female(hermione_granger)	1
house(_EX0, X)	house(fred_weasley, gryffindor)	1
friend(X, _EX2)	friend(hermione_granger, remus_lupin)	1
taught_by(_EX2, _EX3)	taught_by(ginny_weasley, dumbledore)	1
male(_EX3)	male(dudley_dursley)	1
taught_by(_EX5, _EX3)	taught_by(ginny_weasley, severus_snape)	1
teacher(X, Y)	teacher(trelawney, divination)	1
friend(_EX0, X)	friend(fred_weasley, luna_lovegood)	1
parent(_EX5, X)	parent(molly_weasley, ginny_weasley)	1
male(_EX6)	male(goyle)	1
ally(_EX0, dumbledore)	ally(ron_weasley, dumbledore)	1
male(_EX3)	male(george_weasley)	1
friend(hermione_granger, X)	friend(hermione_granger, dumbledore)	1
taught_by(X, _EX5)	taught_by(ron_weasley, slughorn)	1
friend(fred_weasley, _EX4)	friend(fred_weasley, bill_weasley)	1
taught_by(_EX5, _EX3)	taught_by(harry_potter, severus_snape)	1
taught_by(_EX6, _EX0)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
taught_by(_EX0, X)	taught_by(harry_potter, remus_lupin)	1
friend(ron_weasley, X)	friend(ron_weasley, george_weasley)	1
male(X)	male(neville_longbottom)	1
friend(X, Y)	friend(hermione_granger, george_weasley)	1
male(_EX0)	male(dumbledore)	1
ally(_EX6, Y)	ally(severus_snape, dumbledore)	1
taught_by(draco_malfoy, _EX0)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
wizard(_EX0)	wizard(X) :- house(X, Y), male(X)	1
parent(_EX5, X)	parent(molly_weasley, fred_weasley)	1
teacher(_EX6, X)	teacher(remus_lupin, defense_dark_arts)	1
parent(X, _EX5)	parent(arthur_weasley, ginny_weasley)	1
taught_by(Z, slughorn)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
taught_by(_EX0, X)	taught_by(hermione_granger, remus_lupin)	1
friend(X, remus_lupin)	friend(ron_weasley, remus_lupin)	1
taught_by(_EX2, _EX0)	taught_by(hermione_granger, remus_lupin)	1
male(_EX2)	male(voldemort)	1
parent(X, _EX3)	parent(arthur_weasley, ron_weasley)	1
parent(arthur_weasley, X)	parent(arthur_weasley, fred_weasley)	1
friend(X, Y)	friend(draco_malfoy, goyle)	1
teacher(mcgonagall, X)	teacher(mcgonagall, transfiguration)	1
ally(_EX4, _EX1)	ally(X, Y) :- enemy(X, Z), enemy(Y, Z)	1
male(_EX2)	male(hagrid)	1
enemy(Y, X)	enemy(ron_weasley, voldemort)	1
taught_by(george_weasley, _EX4)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
friend(george_weasley, bill_weasley)	friend(george_weasley, bill_weasley)	1
friend(_EX3, X)	friend(hermione_granger, george_weasley)	1
parent(_EX1, fred_weasley)	parent(arthur_weasley, fred_weasley)	1
brothers(X, _EX5)	brothers(X, Y) :- sibling(X, Y), male(X), male(Y)	1
parent(X, _EX3)	parent(vernon_dursley, dudley_dursley)	1
mutual_friend(X, hermione_granger, luna_lovegood)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
taught_by(_EX2, X)	taught_by(hermione_granger, mcgonagall)	1
house(_EX6, X)	house(ginny_weasley, gryffindor)	1
friend(Z, george_weasley)	friend(fred_weasley, george_weasley)	1
parent(X, ginny_weasley)	parent(arthur_weasley, ginny_weasley)	1
parent(_EX5, X)	parent(xenophilius_lovegood, luna_lovegood)	1
friend(X, Y)	friend(ron_weasley, fred_weasley)	1
friend(hermione_granger, Y)	friend(hermione_granger, neville_longbottom)	1
friend(X, luna_lovegood)	friend(fred_weasley, luna_lovegood)	1
enemy(_EX4, voldemort)	enemy(ron_weasley, voldemort)	1
house(Z, X)	house(neville_longbottom, gryffindor)	1
teacher(X, Y)	teacher(lockhart, defense_dark_arts)	1
parent(X, _EX3)	parent(arthur_weasley, fred_weasley)	1
house(_EX6, X)	house(lucius_malfoy, slytherin)	1
friend(X, _EX5)	friend(ron_weasley, dumbledore)	1
friend(Z, X)	friend(ron_weasley, dumbledore)	1
friend(_EX3, Z)	friend(fred_weasley, george_weasley)	1
teacher(_EX2, X)	teacher(remus_lupin, defense_dark_arts)	1
friend(hermione_granger, Y)	friend(hermione_granger, dumbledore)	1
ally(_EX1, Y)	ally(X, Y) :- enemy(X, Z), enemy(Y, Z)	1
friend(Z, george_weasley)	friend(ron_weasley, george_weasley)	1
parent(X, _EX5)	parent(molly_weasley, ron_weasley)	1
taught_by(X, _EX5)	taught_by(hermione_granger, mcgonagall)	1
friend(X, _EX2)	friend(hermione_granger, fred_weasley)	1
at(X, _EX6)	at(hogwarts, mcgonagall)	1
male(_EX5)	male(peter_pettigrew)	1
house(X, Y)	house(cedric_diggory, hufflepuff)	1
brothers(X, fred_weasley)	brothers(X, Y) :- sibling(X, Y), male(X), male(Y)	1
male(Y)	male(hagrid)	1
male(Y)	male(bill_weasley)	1
parent(_EX5, X)	parent(lily_potter, harry_potter)	1
taught_by(_EX2, _EX0)	taught_by(harry_potter, mcgonagall)	1
friend(_EX0, X)	friend(george_weasley, bill_weasley)	1
enemy(_EX6, umbridge)	enemy(ron_weasley, umbridge)	1
female(_EX5)	female(mcgonagall)	1
enemy(Y, X)	enemy(harry_potter, voldemort)	1
enemy(dumbledore, X)	enemy(dumbledore, voldemort)	1
parent(X, harry_potter)	parent(lily_potter, harry_potter)	1
male(_EX0)	male(george_weasley)	1
witch(X)	witch(X) :- house(X, Y), female(X)	1
parent(X, _EX5)	parent(arthur_weasley, george_weasley)	1
at(X, sirius_black)	at(azkaban, sirius_black)	1
friend(X, Y)	friend(draco_malfoy, crabbe)	1
male(draco_malfoy)	male(draco_malfoy)	1
taught_by(X, _EX5)	taught_by(harry_potter, flitwick)	1
taught_by(_EX1, remus_lupin)	taught_by(harry_potter, remus_lupin)	1
house(X, Y)	house(crabbe, slytherin)	1
enemy(_EX1, bellatrix_lestrange)	enemy(harry_potter, bellatrix_lestrange)	1
teacher(lockhart, X)	teacher(lockhart, defense_dark_arts)	1
male(peter_pettigrew)	male(peter_pettigrew)	1
taught_by(_EX1, _EX2)	taught_by(ginny_weasley, slughorn)	1
parent(petunia_dursley, _EX2)	parent(petunia_dursley, dudley_dursley)	1
friend(_EX6, _EX4)	friend(fred_weasley, george_weasley)	1
friend(_EX0, bill_weasley)	friend(george_weasley, bill_weasley)	1
friend(_EX4, fred_weasley)	friend(hermione_granger, fred_weasley)	1
male(_EX2)	male(draco_malfoy)	1
friend(_EX4, george_weasley)	friend(ron_weasley, george_weasley)	1
friend(X, Z)	friend(george_weasley, luna_lovegood)	1
taught_by(_EX2, _EX4)	taught_by(ron_weasley, remus_lupin)	1
male(Y)	male(peter_pettigrew)	1
parent(X, Z)	parent(vernon_dursley, dudley_dursley)	1
friend(sirius_black, remus_lupin)	friend(sirius_black, remus_lupin)	1
teacher(_EX0, X)	teacher(remus_lupin, defense_dark_arts)	1
friend(george_weasley, Z)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
male(_EX2)	male(fred_weasley)	1
mutual_friend(_EX6, _EX6, _EX4)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
at(X, dumbledore)	at(hogwarts, dumbledore)	1
parent(X, dudley_dursley)	parent(petunia_dursley, dudley_dursley)	1
enemy(_EX1, X)	enemy(harry_potter, voldemort)	1
friend(_EX4, X)	friend(hermione_granger, fred_weasley)	1
friend(X, _EX6)	friend(ron_weasley, fred_weasley)	1
witch(_EX0)	witch(X) :- house(X, Y), female(X)	1
house(_EX6, X)	house(neville_longbottom, gryffindor)	1
friend(Z, fred_weasley)	friend(hermione_granger, fred_weasley)	1
sibling(harry_potter, _EX5)	sibling(X, Y) :- parent(Z, X), parent(Z, Y)	1
teacher(Z, X)	teacher(severus_snape, potions)	1
at(X, _EX6)	at(hogwarts, ron_weasley)	1
friend(X, _EX4)	friend(hermione_granger, george_weasley)	1
friend(X, Z)	friend(ron_weasley, george_weasley)	1
parent(Y, X)	parent(petunia_dursley, dudley_dursley)	1
friend(_EX4, X)	friend(george_weasley, bill_weasley)	1
friend(_EX3, Z)	friend(george_weasley, luna_lovegood)	1
enemy(_EX4, bellatrix_lestrange)	enemy(harry_potter, bellatrix_lestrange)	1
enemy(ron_weasley, X)	enemy(ron_weasley, draco_malfoy)	1
friend(_EX4, X)	friend(fred_weasley, george_weasley)	1
friend(_EX4, luna_lovegood)	friend(george_weasley, luna_lovegood)	1
friend(luna_lovegood, X)	friend(luna_lovegood, neville_longbottom)	1
friend(_EX6, _EX4)	friend(luna_lovegood, neville_longbottom)	1
parent(arthur_weasley, ginny_weasley)	parent(arthur_weasley, ginny_weasley)	1
male(_EX2)	male(arthur_weasley)	1
friend(_EX6, luna_lovegood)	friend(george_weasley, luna_lovegood)	1
taught_by(_EX5, _EX3)	taught_by(ron_weasley, slughorn)	1
taught_by(_EX1, _EX2)	taught_by(hermione_granger, slughorn)	1
friend(X, _EX4)	friend(fred_weasley, bill_weasley)	1
friend(Z, X)	friend(ron_weasley, fred_weasley)	1
taught_by(_EX2, _EX4)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
male(_EX3)	male(harry_potter)	1
taught_by(_EX2, _EX3)	taught_by(ron_weasley, severus_snape)	1
friend(X, _EX4)	friend(george_weasley, luna_lovegood)	1
parent(X, _EX1)	parent(draco_malfoy, lucius_malfoy)	1
male(Y)	male(harry_potter)	1
taught_by(X, _EX5)	taught_by(ron_weasley, severus_snape)	1
house(_EX2, X)	house(neville_longbottom, gryffindor)	1
parent(X, ron_weasley)	parent(molly_weasley, ron_weasley)	1
friend(hermione_granger, _EX6)	friend(hermione_granger, remus_lupin)	1
friend(X, _EX6)	friend(draco_malfoy, crabbe)	1
male(_EX0)	male(crabbe)	1
male(Y)	male(dudley_dursley)	1
mutual_friend(_EX1, _EX6, bill_weasley)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
friend(X, _EX6)	friend(ron_weasley, remus_lupin)	1
sibling(george_weasley, george_weasley)	sibling(X, Y) :- parent(Z, X), parent(Z, Y)	1
friend(fred_weasley, _EX5)	friend(fred_weasley, bill_weasley)	1
house(_EX2, X)	house(cedric_diggory, hufflepuff)	1
taught_by(_EX2, X)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
teacher(_EX1, X)	teacher(hagrid, magical_creatures)	1
male(_EX6)	male(voldemort)	1
mutual_friend(george_weasley, luna_lovegood, Z)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
house(_EX1, X)	house(cedric_diggory, hufflepuff)	1
teacher(Z, X)	teacher(remus_lupin, defense_dark_arts)	1
taught_by(_EX2, _EX0)	taught_by(hermione_granger, mcgonagall)	1
male(Y)	male(george_weasley)	1
enemy(_EX1, X)	enemy(sirius_black, lucius_malfoy)	1
friend(_EX2, luna_lovegood)	friend(george_weasley, luna_lovegood)	1
friend(_EX4, X)	friend(luna_lovegood, neville_longbottom)	1
parent(petunia_dursley, _EX5)	parent(petunia_dursley, dudley_dursley)	1
male(_EX6)	male(hagrid)	1
parent(vernon_dursley, dudley_dursley)	parent(vernon_dursley, dudley_dursley)	1
friend(_EX0, X)	friend(ron_weasley, george_weasley)	1
taught_by(_EX2, _EX0)	taught_by(harry_potter, remus_lupin)	1
house(cedric_diggory, X)	house(cedric_diggory, hufflepuff)	1
friend(Y, george_weasley)	friend(hermione_granger, george_weasley)	1
house(Z, X)	house(charlie_weasley, gryffindor)	1
teacher(_EX6, X)	teacher(umbridge, defense_dark_arts)	1
taught_by(_EX2, _EX3)	taught_by(harry_potter, trelawney)	1
parent(molly_weasley, _EX2)	parent(molly_weasley, ron_weasley)	1
house(_EX6, X)	house(fred_weasley, gryffindor)	1
wizard(_EX5)	wizard(X) :- house(X, Y), male(X)	1
taught_by(_EX2, X)	taught_by(ginny_weasley, slughorn)	1
brothers(_EX1, _EX1)	brothers(X, Y) :- sibling(X, Y), male(X), male(Y)	1
friend(_EX0, george_weasley)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
friend(Z, X)	friend(draco_malfoy, crabbe)	1
female(luna_lovegood)	female(luna_lovegood)	1
house(X, Y)	house(charlie_weasley, gryffindor)	1
ally(_EX4, _EX1)	ally(harry_potter, dumbledore)	1
friend(X, _EX5)	friend(ron_weasley, remus_lupin)	1
teacher(quirrell, X)	teacher(quirrell, defense_dark_arts)	1
friend(X, _EX6)	friend(fred_weasley, luna_lovegood)	1
male(_EX5)	male(sirius_black)	1
taught_by(_EX2, _EX0)	taught_by(harry_potter, flitwick)	1
friend(george_weasley, X)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
ally(_EX6, Y)	ally(lucius_malfoy, voldemort)	1
parent(X, _EX1)	parent(james_potter, harry_potter)	1
house(Z, X)	house(molly_weasley, gryffindor)	1
taught_by(_EX0, X)	taught_by(hermione_granger, dumbledore)	1
friend(ron_weasley, X)	friend(ron_weasley, remus_lupin)	1
friend(luna_lovegood, _EX6)	friend(luna_lovegood, neville_longbottom)	1
friend(_EX2, X)	friend(ron_weasley, remus_lupin)	1
house(X, Y)	house(molly_weasley, gryffindor)	1
house(X, Y)	house(voldemort, slytherin)	1
taught_by(X, _EX5)	taught_by(ginny_weasley, slughorn)	1
parent(arthur_weasley, _EX5)	parent(arthur_weasley, george_weasley)	1
friend(_EX4, X)	friend(hermione_granger, george_weasley)	1
teacher(_EX2, X)	teacher(umbridge, defense_dark_arts)	1
friend(fred_weasley, _EX6)	friend(fred_weasley, luna_lovegood)	1
friend(X, bill_weasley)	friend(george_weasley, bill_weasley)	1
friend(Z, remus_lupin)	friend(ron_weasley, remus_lupin)	1
sibling(Z, _EX5)	sibling(X, Y) :- parent(Z, X), parent(Z, Y)	1
friend(X, _EX5)	friend(fred_weasley, bill_weasley)	1
friend(Z, X)	friend(fred_weasley, bill_weasley)	1
friend(_EX3, _EX4)	friend(hermione_granger, remus_lupin)	1
friend(X, remus_lupin)	friend(sirius_black, remus_lupin)	1
friend(X, _EX5)	friend(george_weasley, luna_lovegood)	1
parent(X, _EX5)	parent(molly_weasley, fred_weasley)	1
teacher(Z, X)	teacher(slughorn, potions)	1
friend(Z, X)	friend(george_weasley, luna_lovegood)	1
friend(Y, X)	friend(sirius_black, remus_lupin)	1
friend(_EX4, X)	friend(draco_malfoy, goyle)	1
friend(_EX3, george_weasley)	friend(fred_weasley, george_weasley)	1
friend(_EX0, fred_weasley)	friend(ron_weasley, fred_weasley)	1
teacher(_EX0, X)	teacher(severus_snape, potions)	1
male(_EX2)	male(peter_pettigrew)	1
house(_EX2, X)	house(bellatrix_lestrange, slytherin)	1
friend(george_weasley, luna_lovegood)	friend(george_weasley, luna_lovegood)	1
taught_by(_EX5, _EX3)	taught_by(hermione_granger, dumbledore)	1
taught_by(X, _EX5)	taught_by(hermione_granger, remus_lupin)	1
friend(_EX0, X)	friend(hermione_granger, remus_lupin)	1
ally(_EX1, Y)	ally(mcgonagall, dumbledore)	1
friend(george_weasley, _EX5)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
friend(_EX2, X)	friend(george_weasley, luna_lovegood)	1
friend(X, Z)	friend(hermione_granger, george_weasley)	1
taught_by(_EX0, X)	taught_by(harry_potter, dumbledore)	1
house(Z, gryffindor)	house(hermione_granger, gryffindor)	1
house(_EX0, X)	house(hermione_granger, gryffindor)	1
male(_EX3)	male(vernon_dursley)	1
teacher(_EX4, X)	teacher(dumbledore, headmaster)	1
male(Y)	male(crabbe)	1
friend(george_weasley, _EX4)	friend(george_weasley, bill_weasley)	1
male(Y)	male(vernon_dursley)	1
taught_by(crabbe, X)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
house(_EX0, X)	house(cedric_diggory, hufflepuff)	1
house(bellatrix_lestrange, X)	house(bellatrix_lestrange, slytherin)	1
friend(_EX6, X)	friend(hermione_granger, fred_weasley)	1
friend(X, Z)	friend(draco_malfoy, goyle)	1
son(Z, arthur_weasley)	son(X, Y) :- male(X), parent(Y, X)	1
taught_by(_EX2, _EX0)	taught_by(ron_weasley, severus_snape)	1
male(_EX5)	male(goyle)	1
taught_by(X, _EX5)	taught_by(hermione_granger, slughorn)	1
male(_EX6)	male(dudley_dursley)	1
male(X)	male(lucius_malfoy)	1
male(X)	male(dumbledore)	1
ally(_EX6, Y)	ally(X, Y) :- enemy(X, Z), enemy(Y, Z)	1
house(_EX6, X)	house(molly_weasley, gryffindor)	1
parent(X, Z)	parent(petunia_dursley, dudley_dursley)	1
friend(Y, X)	friend(luna_lovegood, neville_longbottom)	1
friend(_EX6, X)	friend(george_weasley, bill_weasley)	1
friend(_EX3, Z)	friend(hermione_granger, george_weasley)	1
house(X, Y)	house(cho_chang, ravenclaw)	1
enemy(_EX1, peter_pettigrew)	enemy(harry_potter, peter_pettigrew)	1
friend(_EX6, X)	friend(fred_weasley, george_weasley)	1
friend(X, Y)	friend(ron_weasley, dumbledore)	1
male(_EX6)	male(george_weasley)	1
teacher(X, Y)	teacher(umbridge, defense_dark_arts)	1
friend(_EX2, bill_weasley)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
parent(X, _EX4)	parent(arthur_weasley, fred_weasley)	1
taught_by(_EX2, quirrell)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
male(_EX2)	male(harry_potter)	1
friend(_EX4, neville_longbottom)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
ally(_EX4, _EX1)	ally(lucius_malfoy, voldemort)	1
friend(hermione_granger, X)	friend(hermione_granger, george_weasley)	1
friend(_EX6, _EX4)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
taught_by(_EX6, _EX0)	taught_by(harry_potter, remus_lupin)	1
taught_by(_EX2, _EX3)	taught_by(harry_potter, mcgonagall)	1
friend(_EX2, X)	friend(draco_malfoy, crabbe)	1
friend(X, Y)	friend(fred_weasley, luna_lovegood)	1
male(_EX2)	male(dudley_dursley)	1
parent(X, Z)	parent(arthur_weasley, fred_weasley)	1
taught_by(ron_weasley, Z)	taught_by(ron_weasley, severus_snape)	1
taught_by(_EX0, X)	taught_by(X, Y) :- teacher(Y, Z), wizard(X)	1
parent(Y, X)	parent(lily_potter, harry_potter)	1
male(_EX3)	male(goyle)	1
male(_EX3)	male(voldemort)	1
enemy(_EX4, lucius_malfoy)	enemy(sirius_black, lucius_malfoy)	1
taught_by(X, _EX5)	taught_by(ron_weasley, dumbledore)	1
male(Y)	male(goyle)	1
enemy(_EX0, voldemort)	enemy(ron_weasley, voldemort)	1
house(_EX2, X)	house(molly_weasley, gryffindor)	1
male(_EX0)	male(hagrid)	1
house(_EX2, X)	house(voldemort, slytherin)	1
taught_by(_EX6, _EX0)	taught_by(harry_potter, flitwick)	1
parent(X, _EX4)	parent(draco_malfoy, lucius_malfoy)	1
at(X, _EX6)	at(hogwarts, ginny_weasley)	1
house(_EX1, X)	house(voldemort, slytherin)	1
friend(_EX3, X)	friend(hermione_granger, neville_longbottom)	1
friend(_EX3, _EX6)	friend(sirius_black, remus_lupin)	1
friend(X, _EX4)	friend(draco_malfoy, goyle)	1
taught_by(_EX1, _EX2)	taught_by(ron_weasley, severus_snape)	1
friend(_EX6, X)	friend(luna_lovegood, neville_longbottom)	1
enemy(Y, X)	enemy(dumbledore, voldemort)	1
teacher(_EX2, X)	teacher(lockhart, defense_dark_arts)	1
friend(_EX4, X)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
teacher(_EX1, X)	teacher(quirrell, defense_dark_arts)	1
parent(_EX4, X)	parent(molly_weasley, george_weasley)	1
mutual_friend(fred_weasley, _EX0, Z)	mutual_friend(X, Y, Z) :- friend(X, Z), friend(Y, Z)	1
love(Y, madame_maxime)	love(X, Y) :- height(X, tall), height(Y, tall)	1
female(molly_weasley)	female(molly_weasley)	1
parent(_EX4, X)	parent(vernon_dursley, dudley_dursley)	1
friend(_EX3, george_weasley)	friend(ron_weasley, george_weasley)	1
friend(_EX2, X)	friend(hermione_granger, remus_lupin)	1
friend(_EX3, _EX4)	friend(X, Z) :- friend(X, Y), friend(Y, Z)	1
enemy(_EX4, voldemort)	enemy(dumbledore, voldemort)	1
friend(_EX4, X)	friend(hermione_granger, dumbledore)	1
taught_by(_EX1, remus_lupin)	taught_by(ron_weasley, remus_lupin)	1
house(X, Y)	house(george_weasley, gryffindor)	1
friend(fred_weasley, _EX5)	friend(fred_weasley, luna_lovegood)	1
friend(fred_weasley, _EX4)	friend(fred_weasley, george_weasley)	1
must_find_date_yule_ball(sirius_black)	must_find_date_yule_ball(X) :- at(Y, X), male(X)	1
teacher(_EX5, X)	teacher(mcgonagall, transfiguration)	1
taught_by(_EX2, _EX4)	taught_by(ginny_weasley, remus_lupin)	1
male(X)	male(arthur_weasley)	1
taught_by(_EX6, _EX0)	taught_by(hermione_granger, flitwick)	1
male(_EX6)	male(bill_weasley)	1
friend(luna_lovegood, _EX5)	friend(luna_lovegood, neville_longbottom)	1
friend(_EX3, _EX6)	friend(hermione_granger, neville_longbottom)	1
